,Month,Year,Day,Predicted
611,5.0,1996.0,30,1.3127657
612,5.0,1996.0,31,1.3116511
613,6.0,1996.0,4,1.3113604
614,6.0,1996.0,5,1.3118565
615,6.0,1996.0,6,1.3121712
616,6.0,1996.0,7,1.3114218
617,6.0,1996.0,11,1.3088667
618,6.0,1996.0,12,1.3088914
619,6.0,1996.0,13,1.3091874
620,6.0,1996.0,14,1.3082826
621,6.0,1996.0,18,1.3080537
622,6.0,1996.0,19,1.3082232
623,6.0,1996.0,20,1.3095942
624,6.0,1996.0,21,1.311598
625,6.0,1996.0,25,1.3133527
626,6.0,1996.0,26,1.3140724
627,6.0,1996.0,27,1.3152634
628,6.0,1996.0,28,1.315126
629,7.0,1996.0,2,1.3162241
630,7.0,1996.0,3,1.3162105
631,7.0,1996.0,4,1.3181235
632,7.0,1996.0,9,1.319137
633,7.0,1996.0,10,1.3207027
634,7.0,1996.0,11,1.321674
635,7.0,1996.0,12,1.3227911
636,7.0,1996.0,16,1.3237805
637,7.0,1996.0,17,1.3245533
638,7.0,1996.0,18,1.3250425
639,7.0,1996.0,19,1.3259176
640,7.0,1996.0,23,1.3267922
641,7.0,1996.0,24,1.3267578
642,7.0,1996.0,25,1.3253667
643,7.0,1996.0,26,1.3245633
644,7.0,1996.0,30,1.3245363
645,7.0,1996.0,31,1.3243382
646,8.0,1996.0,1,1.3232821
647,8.0,1996.0,2,1.320117
648,8.0,1996.0,6,1.3195914
649,8.0,1996.0,7,1.3191528
650,8.0,1996.0,8,1.3178182
651,8.0,1996.0,9,1.3170652
652,8.0,1996.0,13,1.3168197
653,8.0,1996.0,14,1.3177097
654,8.0,1996.0,15,1.3191655
655,8.0,1996.0,16,1.3203
656,8.0,1996.0,20,1.3206584
657,8.0,1996.0,21,1.3214614
658,8.0,1996.0,22,1.3206708
659,8.0,1996.0,23,1.3213595
660,8.0,1996.0,27,1.3212904
661,8.0,1996.0,28,1.3232216
662,8.0,1996.0,29,1.3245277
663,8.0,1996.0,30,1.326016
664,9.0,1996.0,4,1.3271897
665,9.0,1996.0,5,1.3284311
666,9.0,1996.0,6,1.329426
